result,red_team,blue_team
0,Hanwha Life Esports,Griffin
1,SK Telecom T1,Afreeca Freecs
1,Afreeca Freecs,SK Telecom T1
1,SK Telecom T1,Afreeca Freecs
1,SK Telecom T1,SANDBOX Gaming
1,SK Telecom T1,SANDBOX Gaming
0,SANDBOX Gaming,SK Telecom T1
0,DAMWON Gaming,SK Telecom T1
1,SK Telecom T1,DAMWON Gaming
1,SK Telecom T1,DAMWON Gaming
0,Griffin,SK Telecom T1
0,Griffin,SK Telecom T1
1,Griffin,SK Telecom T1
0,Griffin,SK Telecom T1
0,Hanwha Life Esports,SeolHaeOne Prince
1,Hanwha Life Esports,SeolHaeOne Prince
1,SeolHaeOne Prince,Hanwha Life Esports
0,Team Dynamics,Jin Air Green Wings
1,Jin Air Green Wings,Team Dynamics
0,SeolHaeOne Prince,Jin Air Green Wings
1,SeolHaeOne Prince,Jin Air Green Wings
1,SeolHaeOne Prince,Jin Air Green Wings
1,SeolHaeOne Prince,Jin Air Green Wings
0,Team Dynamics,Hanwha Life Esports
1,Team Dynamics,Hanwha Life Esports
0,Team Dynamics,Hanwha Life Esports
0,Team Dynamics,Hanwha Life Esports
0,Jin Air Green Wings,Hanwha Life Esports
0,Jin Air Green Wings,Hanwha Life Esports
0,Jin Air Green Wings,Hanwha Life Esports
