"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Poppy","Top",1,"1.1%","0.0%","1.1%","0%","100%",2,2,2,2,"36.4%","18.2%","0%",-457,-207,-17,8,"26.1%",397,"15.6%","21.6%",0.41,0.17
"Pyke","Support",2,"2.2%","1.1%","3.3%","0%","100%",3,6,7,1.7,"76.9%","19.4%","0%",329,-240,5.5,1.2,"3.5%",83,"6.2%","9.0%",1.79,0.45
"Qiyana","Jungle",1,"1.1%","21.1%","30.0%","0%","100%",0,2,0,0,"0.0%","13.3%","0%",-259,-3,-10,4.6,"14.8%",239,"17.1%","14.1%",0.68,0.35
"Qiyana","Middle",7,"7.8%","21.1%","30.0%","86%","43%",40,17,29,4.1,"59.5%","23.9%","29%",-263,-356,-7.7,8.1,"23.7%",477,"25.8%","23.7%",0.51,0.39
"Quinn","ADC",1,"1.1%","0.0%","1.1%","0%","100%",3,9,4,0.8,"77.8%","24.3%","0%",-1177,-1077,-6,4.2,"14.9%",436,"17.6%","18.2%",0.32,0.04
"Rakan","Support",28,"31.1%","34.4%","65.6%","50%","36%",27,66,226,3.8,"70.9%","19.6%","14%",-63,-131,-3.2,1.1,"2.9%",133,"7.7%","9.3%",1.55,0.46
"Rek'Sai","Jungle",14,"15.6%","0.0%","15.6%","50%","86%",40,39,72,2.9,"63.3%","20.2%","29%",69,44,-1,4.8,"13.4%",234,"12.7%","16.6%",0.75,0.35
"Renekton","Middle",1,"1.1%","11.1%","25.6%","100%","100%",0,2,13,6.5,"65.0%","33.3%","100%",134,-197,13,9.1,"31.2%",492,"24.2%","23.4%",0.48,0.23
"Renekton","Top",12,"13.3%","11.1%","25.6%","50%","58%",16,33,36,1.6,"43.7%","25.4%","33%",175,221,10.9,8.3,"25.1%",277,"17.1%","22.7%",0.47,0.17
"Rengar","Top",1,"1.1%","0.0%","1.1%","100%","100%",3,3,7,3.3,"55.6%","37.5%","100%",624,854,7,7.1,"22.5%",394,"19.7%","22.2%",0.38,0.03
"Riven","-",0,"0%","1.1%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Rumble","Middle",1,"1.1%","17.8%","23.3%","0%","0%",2,5,2,0.8,"66.7%","27.8%","0%",206,138,4,8.1,"23.8%",524,"33.3%","23.8%",0.55,0.09
"Rumble","Top",4,"4.4%","17.8%","23.3%","25%","75%",5,13,17,1.7,"59.5%","19.7%","0%",297,198,6,6.9,"21.8%",517,"27.1%","21.7%",0.54,0.14
"Ryze","Middle",10,"11.1%","6.7%","17.8%","30%","40%",19,41,39,1.4,"52.3%","25.0%","20%",-405,-284,-3.2,10.2,"33.7%",409,"24.8%","27.9%",0.5,0.14
