"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ekko","Middle",1,"1.1%","1.1%","2.2%","100%","100%",5,0,5,10,"55.6%","0.0%","0%",-32,324,1,10.8,"30.5%",507,"25.4%","24.9%",0.43,0.32
"Gangplank","Top",1,"1.1%","0.0%","1.1%","100%","100%",1,3,5,2,"35.3%","20.0%","0%",-760,-655,-35,6,"22.8%",489,"23.5%","19.7%",0.5,0.1
"Gragas","Support",4,"4.4%","8.8%","24.2%","100%","100%",3,11,26,2.6,"56.9%","50.0%","0%",191,261,-3,1.5,"3.9%",205,"9.8%","12.4%",1.3,0.36
"Karma","Top",2,"2.2%","2.2%","4.4%","100%","100%",4,3,17,7,"77.8%","18.8%","0%",395,266,11.5,7,"14.0%",601,"26.5%","19.8%",0.46,0.06
"Karthus","Middle",1,"1.1%","46.2%","67.0%","100%","100%",0,2,8,4,"72.7%","22.2%","0%",-267,-292,-10,8.5,"24.6%",410,"21.7%","19.8%",0.46,0
"Kayn","Jungle",1,"1.1%","0.0%","1.1%","100%","100%",4,2,11,7.5,"68.2%","18.2%","0%",-148,-164,-3,6.2,"18.0%",431,"18.4%","18.3%",0.38,0.43
"Neeko","Middle",1,"1.1%","3.3%","4.4%","100%","100%",1,0,7,8,"50.0%","0.0%","0%",193,-32,11,10.8,"25.1%",415,"20.5%","20.9%",0.49,0.28
"Olaf","Top",1,"1.1%","24.2%","41.8%","100%","100%",6,1,4,10,"52.6%","16.7%","0%",740,606,20,8.8,"23.8%",746,"33.9%","25.0%",0.41,0.09
"Pantheon","Jungle",1,"1.1%","0.0%","1.1%","100%","100%",2,1,6,8,"88.9%","25.0%","100%",460,156,6,6.1,"17.7%",322,"17.8%","20.4%",0.15,0.37
"Sejuani","Top",1,"1.1%","15.4%","45.1%","100%","100%",3,3,7,3.3,"66.7%","15.0%","100%",549,428,13,7.6,"23.5%",571,"26.4%","22.4%",0.56,0.13
"Skarner","Jungle",3,"3.3%","0.0%","3.3%","100%","100%",4,7,28,4.6,"66.7%","26.9%","67%",336,457,7,5.1,"12.9%",138,"6.9%","16.2%",0.68,0.24
"Swain","Middle",2,"2.2%","5.5%","9.9%","100%","100%",5,2,14,9.5,"67.9%","28.6%","0%",542,692,19,9.1,"22.9%",504,"25.9%","20.7%",0.48,0.23
"Swain","Top",2,"2.2%","5.5%","9.9%","100%","100%",5,2,10,7.5,"51.7%","14.3%","0%",266,54,-0.5,7.5,"21.7%",527,"24.1%","19.9%",0.55,0.17
"Vayne","Middle",1,"1.1%","6.6%","16.5%","100%","100%",4,1,4,8,"72.7%","16.7%","0%",1033,612,40,9.9,"30.4%",638,"37.4%","28.7%",0.48,0.21
"Vladimir","Middle",2,"2.2%","5.5%","15.4%","100%","100%",13,4,10,5.8,"60.5%","26.7%","0%",-81,-121,6,8.5,"21.6%",605,"28.0%","23.4%",0.46,0.19
"Zilean","Support",1,"1.1%","4.4%","5.5%","100%","100%",1,0,9,10,"83.3%","0.0%","0%",-534,230,-10,0.7,"2.5%",215,"12.8%","11.6%",1.38,0.29
"Zoe","ADC",1,"1.1%","11.0%","36.3%","100%","100%",7,3,10,5.7,"89.5%","60.0%","0%",-425,-334,-16,8,"25.0%",668,"29.1%","23.3%",0.37,0.4
"Jayce","ADC",1,"1.1%","56.0%","71.4%","100%","0%",3,1,3,6,"46.2%","14.3%","100%",138,-90,-1,10.4,"33.1%",508,"25.9%","25.9%",0.43,0.35
"Yasuo","ADC",1,"1.1%","18.7%","30.8%","100%","0%",6,0,2,8,"57.1%","0.0%","0%",467,616,3,12.1,"34.7%",417,"29.2%","30.3%",0.45,0.49
"Soraka","-",0,"0%","1.1%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Kled","-",0,"0%","3.3%","3.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Janna","-",0,"0%","1.1%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Hecarim","-",0,"0%","1.1%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Darius","-",0,"0%","1.1%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
