"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Tahm Kench","Support",80,"38.5%","31.3%","69.7%","61%","44%",38,163,535,3.5,"65.1%","24.1%","14%",100,70,4,2.2,"6.9%",100,"5.6%","12.2%",1.62,0.27
"Taliyah","Jungle",3,"1.4%","3.4%","7.2%","67%","67%",4,5,18,4.4,"66.7%","26.3%","33%",-270,-180,-1.7,6.1,"16.5%",294,"20.6%","17.1%",0.73,0.29
"Taliyah","Middle",5,"2.4%","3.4%","7.2%","40%","60%",17,11,32,4.5,"69.0%","16.2%","20%",-24,48,-2.4,8.3,"24.3%",440,"27.0%","22.0%",0.53,0.25
"Talon","Middle",1,"0.5%","0.0%","0.5%","0%","100%",2,3,1,1,"100.0%","27.3%","0%",-134,-187,-9,9.5,"25.4%",148,"13.2%","22.9%",0.43,0.56
"Taric","Support",2,"1.0%","0.0%","1.0%","0%","100%",0,7,0,0,"0.0%","25.0%","0%",-258,-563,-4.5,1.8,"6.5%",54,"4.0%","14.2%",1.28,0.2
"Thresh","Support",44,"21.2%","31.3%","52.4%","43%","32%",16,123,313,2.7,"71.4%","22.2%","27%",103,-38,-0.4,1.3,"3.9%",113,"7.0%","9.7%",1.62,0.44
"Tristana","ADC",8,"3.8%","2.9%","6.7%","50%","100%",31,16,27,3.6,"74.4%","18.4%","25%",102,233,1.9,10,"30.9%",504,"30.7%","27.9%",0.42,0.33
"Trundle","Jungle",1,"0.5%","0.0%","0.5%","0%","0%",0,1,3,3,"75.0%","10.0%","0%",-344,-662,-12,4.4,"10.0%",113,"8.5%","12.7%",1.28,0.7
"Urgot","Middle",21,"10.1%","14.4%","55.3%","52%","29%",35,47,79,2.4,"61.0%","22.0%","29%",-184,-135,-2.2,8.6,"23.1%",347,"20.3%","21.0%",0.54,0.34
"Urgot","Top",64,"30.8%","14.4%","55.3%","61%","33%",183,116,239,3.6,"60.7%","19.1%","17%",-27,10,-2.1,8.3,"24.3%",337,"20.3%","22.4%",0.49,0.29
"Varus","ADC",9,"4.3%","3.8%","8.2%","33%","56%",17,16,28,2.8,"72.6%","17.2%","33%",94,27,4.7,10.3,"31.6%",461,"29.8%","26.2%",0.46,0.55
"Vayne","ADC",13,"6.3%","5.8%","13.5%","54%","62%",57,24,60,4.9,"71.8%","16.6%","23%",-269,-119,-5.2,9.6,"30.8%",477,"29.9%","26.9%",0.44,0.53
"Vayne","Middle",1,"0.5%","5.8%","13.5%","0%","100%",3,1,3,6,"54.5%","6.3%","0%",-263,347,7,8.9,"27.9%",225,"16.0%","25.9%",0.61,0.37
"Vayne","Top",2,"1.0%","5.8%","13.5%","50%","100%",10,2,5,7.5,"83.3%","11.1%","50%",344,220,15,9.9,"29.0%",578,"38.4%","29.4%",0.44,0.25
"Vel'Koz","Middle",1,"0.5%","0.0%","1.0%","100%","100%",4,1,9,13,"65.0%","14.3%","0%",119,-103,-4,8.6,"23.2%",621,"25.9%","20.6%",0.52,0.26
"Vel'Koz","Support",1,"0.5%","0.0%","1.0%","0%","100%",2,6,0,0.3,"100.0%","50.0%","100%",-82,-118,-2,0.5,"2.0%",193,"13.7%","9.7%",1.09,0.4
"Viktor","ADC",14,"6.7%","11.1%","27.9%","36%","64%",20,31,53,2.4,"68.9%","19.9%","0%",-219,-35,-8.1,9.6,"30.2%",619,"36.2%","24.4%",0.54,0.29
"Viktor","Middle",5,"2.4%","11.1%","27.9%","20%","80%",11,8,11,2.8,"73.3%","12.1%","0%",-393,18,-14.4,8.7,"25.8%",519,"36.0%","24.1%",0.64,0.18
"Viktor","Top",16,"7.7%","11.1%","27.9%","31%","75%",33,43,66,2.3,"67.3%","22.2%","19%",3,-41,-4.8,8.5,"26.7%",558,"31.8%","22.7%",0.57,0.18
"Vladimir","ADC",15,"7.2%","33.2%","53.8%","67%","67%",50,24,65,4.8,"66.5%","19.0%","13%",-192,-59,-6.5,9.4,"27.2%",441,"26.8%","23.7%",0.39,0.25
"Vladimir","Middle",3,"1.4%","33.2%","53.8%","33%","33%",4,9,9,1.4,"52.0%","20.5%","0%",-355,-359,-8.3,8.7,"23.8%",465,"28.5%","21.7%",0.41,0.15
"Vladimir","Top",25,"12.0%","33.2%","53.8%","68%","36%",91,42,91,4.3,"56.9%","18.8%","4%",-34,-44,2.2,9.2,"27.9%",497,"28.9%","24.5%",0.52,0.19
"Xayah","ADC",18,"8.7%","2.4%","11.1%","56%","44%",59,26,82,5.4,"74.6%","14.1%","17%",76,33,0.1,10.5,"33.2%",478,"28.5%","28.0%",0.4,0.41
"Xin Zhao","ADC",1,"0.5%","5.3%","20.2%","100%","100%",3,3,8,3.7,"73.3%","33.3%","0%",26,223,-18,4.3,"15.7%",249,"12.7%","17.1%",1.43,0.77
"Xin Zhao","Jungle",30,"14.4%","5.3%","20.2%","27%","50%",58,79,112,2.2,"65.4%","20.5%","40%",-50,-63,1,4.9,"13.2%",219,"13.5%","16.6%",0.94,0.52
"Yasuo","ADC",5,"2.4%","19.2%","30.3%","40%","60%",17,12,23,3.3,"75.5%","21.4%","20%",208,207,25,9,"27.5%",357,"23.0%","25.6%",0.49,0.19
"Yasuo","Middle",18,"8.7%","19.2%","30.3%","61%","56%",71,41,71,3.5,"65.4%","20.3%","28%",256,147,6.1,8.9,"25.2%",293,"17.7%","24.6%",0.51,0.24
"Yorick","Top",26,"12.5%","20.2%","32.7%","58%","50%",55,42,71,3,"52.1%","19.7%","12%",-82,-66,-1.8,8.8,"25.9%",426,"26.9%","24.2%",0.5,0.16
"Zac","Jungle",17,"8.2%","8.7%","16.8%","47%","59%",18,36,90,3,"73.5%","23.4%","47%",-183,-168,-11.9,4.4,"10.3%",149,"10.3%","13.9%",0.52,0.51
"Zed","Top",1,"0.5%","1.0%","1.4%","0%","100%",5,2,6,5.5,"64.7%","13.3%","0%",-327,141,-13,7.3,"19.8%",350,"20.3%","21.6%",0.81,0.3
"Ziggs","ADC",1,"0.5%","0.0%","0.5%","100%","100%",1,2,7,4,"40.0%","22.2%","0%",-162,-51,31,9.2,"30.5%",451,"26.2%","19.1%",0.67,0.18
"Zilean","Middle",2,"1.0%","0.5%","1.4%","50%","100%",3,2,10,6.5,"61.9%","6.3%","0%",-309,-126,-14,8.2,"25.4%",503,"29.3%","22.1%",0.69,0.29
"Zoe","Middle",55,"26.4%","36.5%","63.0%","51%","47%",146,90,257,4.5,"70.5%","15.7%","29%",93,51,2,8.6,"24.0%",530,"31.1%","22.6%",0.51,0.24
