"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","CSPM","DPM","DMG%","GOLD%","WPM","WCPM"
"Gragas","Support",16,"5.5%","13.7%","31.2%","44%","63%",20,46,129,3.2,"65.6%","21.6%",1.4,220,"11.6%","11.5%",1.23,0.22
"Neeko","ADC",16,"5.5%","6.5%","13.7%","44%","38%",61,37,79,3.8,"71.1%","18.8%",9.5,511,"27.3%","26.9%",0.35,0.48
"Jax","Top",14,"4.8%","5.8%","11.3%","36%","86%",43,40,30,1.8,"46.5%","20.6%",8.1,347,"23.3%","23.5%",0.45,0.16
"Cassiopeia","Middle",13,"4.5%","41.1%","48.6%","77%","62%",38,33,81,3.6,"66.9%","25.0%",9.1,441,"27.4%","23.4%",0.49,0.2
"Fiora","Top",12,"4.1%","3.1%","7.2%","58%","83%",25,36,35,1.7,"46.9%","24.7%",8.6,334,"21.4%","22.5%",0.44,0.15
"Vladimir","Middle",11,"3.8%","32.5%","52.7%","36%","82%",26,26,45,2.7,"68.3%","16.1%",8.6,443,"30.8%","24.0%",0.42,0.2
"Sylas","Middle",11,"3.8%","16.1%","22.6%","73%","9%",39,23,52,4,"66.4%","23.2%",8.6,437,"25.1%","23.2%",0.42,0.18
"Yasuo","Middle",10,"3.4%","9.9%","14.4%","60%","70%",36,31,53,2.9,"61.4%","22.5%",8.6,339,"18.9%","23.2%",0.43,0.18
"Caitlyn","ADC",10,"3.4%","2.1%","5.5%","40%","50%",26,20,43,3.5,"60.0%","16.1%",9.6,515,"28.5%","26.5%",0.33,0.3
"Skarner","Jungle",10,"3.4%","1.7%","5.1%","60%","70%",14,26,90,4,"69.8%","20.3%",4.4,128,"6.8%","14.5%",0.81,0.35
"Elise","Jungle",10,"3.4%","0.7%","4.1%","50%","80%",27,38,66,2.4,"67.9%","23.8%",4.5,347,"19.1%","16.0%",0.85,0.52
"Camille","Top",9,"3.1%","26.4%","39.4%","33%","44%",35,30,34,2.3,"62.2%","23.8%",7.8,417,"22.6%","23.3%",0.37,0.2
"Viktor","ADC",9,"3.1%","3.8%","12.0%","33%","100%",17,20,34,2.6,"61.4%","16.9%",8.5,631,"35.7%","24.7%",0.51,0.3
"Cassiopeia","ADC",8,"2.7%","41.1%","48.6%","38%","0%",23,15,32,3.7,"57.9%","19.2%",9.6,406,"26.7%","24.6%",0.42,0.31
"Sion","Middle",8,"2.7%","12.7%","41.1%","50%","75%",19,22,56,3.4,"62.0%","19.1%",7,304,"17.7%","18.7%",0.47,0.18
"Viktor","Middle",8,"2.7%","3.8%","12.0%","25%","88%",13,14,23,2.6,"58.1%","15.9%",9,559,"32.1%","23.0%",0.46,0.23
"Riven","Top",8,"2.7%","5.1%","9.9%","63%","88%",28,15,35,4.2,"57.8%","17.6%",8.1,328,"19.8%","21.2%",0.45,0.21
"Kled","Top",8,"2.7%","5.8%","8.9%","63%","75%",26,20,40,3.3,"60.0%","20.0%",8.4,365,"22.3%","23.1%",0.42,0.19
"Kog'Maw","ADC",8,"2.7%","3.8%","6.5%","88%","50%",53,11,52,9.5,"70.5%","14.7%",9.4,663,"32.6%","27.3%",0.45,0.42
"Fiddlesticks","Support",8,"2.7%","1.4%","4.1%","25%","100%",7,31,59,2.1,"70.2%","27.7%",0.6,182,"12.1%","9.1%",1.14,0.22
"Jinx","ADC",8,"2.7%","1.4%","4.1%","50%","100%",45,12,23,5.7,"73.9%","12.5%",10.5,712,"36.9%","30.3%",0.34,0.49
"Sylas","Top",7,"2.4%","16.1%","22.6%","29%","43%",15,17,39,3.2,"66.7%","17.0%",7.6,407,"22.9%","20.9%",0.4,0.11
"Viktor","Top",7,"2.4%","3.8%","12.0%","43%","86%",15,27,29,1.6,"55.7%","21.6%",8.2,599,"31.3%","22.1%",0.48,0.15
"Kayn","Jungle",7,"2.4%","1.0%","3.4%","71%","86%",33,21,38,3.4,"63.4%","23.9%",5,368,"16.6%","18.6%",0.36,0.38
"Zac","Jungle",6,"2.1%","3.8%","5.8%","67%","67%",20,14,61,5.8,"81.8%","17.7%",4.5,227,"11.6%","16.9%",0.42,0.35
"Tristana","ADC",6,"2.1%","0.7%","2.7%","33%","100%",20,11,19,3.5,"69.6%","12.8%",9.7,400,"24.7%","27.2%",0.32,0.37
"Nidalee","Jungle",5,"1.7%","2.7%","4.5%","40%","60%",19,18,12,1.7,"64.6%","28.1%",6,315,"18.6%","20.0%",0.51,0.51
