result,red_top,red_jng,red_mid,red_bot,red_sup,blue_top,blue_jng,blue_mid,blue_bot,blue_sup,red_team,blue_team
1,1.088,0.723,0.916,0.829,0.998,0.546,0.794,0.789,0.876,0.511,4.554,3.516
0,1.192,0.793,0.995,0.896,0.523,0.778,0.748,1.176,0.87,0.891,4.399,4.463
1,1.228,1.098,0.913,1.04,0.886,0.868,1.064,0.771,1.243,0.8,5.165,4.7459999999999996
1,1.038,1.436,0.856,0.954,1.105,1.932,0.883,1.046,1.04,0.783,5.388999999999999,5.684
1,1.085,1.139,0.834,1.045,0.821,1.049,1.364,0.883,1.472,0.8,4.9239999999999995,5.5680000000000005
0,0.916,0.884,1.273,1.039,0.812,1.024,0.853,0.8,0.973,0.8,4.924,4.45
1,1.024,0.786,0.8,0.973,1.431,1.74,0.775,1.273,0.66,0.662,5.014,5.11
1,1.102,1.129,0.85,1.253,0.763,1.27,1.017,1.26,1.033,1.062,5.0969999999999995,5.642
1,1.01,1.017,1.26,1.033,1.062,1.102,1.129,0.85,1.253,0.763,5.382000000000001,5.0969999999999995
1,1.055,1.129,1.206,1.025,0.88,1.01,1.017,1.26,0.913,1.062,5.295,5.2620000000000005
0,0.782,0.793,0.995,0.876,0.8,1.301,0.455,1.102,0.772,1.012,4.246,4.6419999999999995
1,1.301,1.264,1.064,1.033,1.757,1.192,0.616,0.76,0.896,0.8,6.419,4.263999999999999
0,1.038,1.364,1.096,1.243,0.908,1.055,1.485,1.051,1.113,0.763,5.649000000000001,5.4670000000000005
1,0.757,1.419,1.185,0.999,0.88,0.695,0.541,0.8,0.94,0.915,5.24,3.891
0,1.301,1.264,1.064,0.654,0.872,1.932,0.92,0.806,0.975,0.793,5.155,5.426
1,1.061,0.92,1.183,1.045,0.764,1.015,0.922,1.064,0.772,0.872,4.973,4.645
0,1.088,0.933,0.701,0.829,0.998,1.077,1.098,1.076,0.868,1.266,4.549,5.385
1,1.077,1.098,1.029,1.039,1.266,1.088,1.141,0.916,0.87,0.998,5.5089999999999995,5.013
1,1.095,1.237,1.203,1.055,1.062,1.047,0.78,1.184,1.059,0.965,5.652,5.035
1,1.047,1.415,1.154,1.04,0.918,0.5,1.017,1.105,0.848,1.151,5.574,4.6209999999999996
1,1.017,1.237,1.263,1.036,1.062,1.005,0.78,1.01,0.852,0.942,5.615,4.5889999999999995
0,0.975,0.979,0.8,1.311,0.8,0.782,1.168,0.837,0.948,0.8,4.864999999999999,4.535
0,0.782,0.794,0.431,1.031,0.778,0.992,1.213,0.8,0.973,1.062,3.8160000000000003,5.04
1,0.788,0.979,0.8,0.952,0.893,0.625,0.863,0.837,0.773,0.674,4.412,3.7720000000000002
0,1.031,1.098,1.046,0.975,0.886,0.858,1.129,1.185,0.999,0.88,5.036,5.051
1,1.055,0.902,1.129,0.984,0.856,0.854,0.903,1.137,1.045,0.764,4.926,4.703
0,1.049,0.935,0.66,0.772,1.012,1.004,0.723,1.176,0.969,1.024,4.428000000000001,4.895999999999999
1,1.2,1.099,1.389,0.969,0.8,1.049,0.802,0.66,0.744,0.8,5.457,4.055
1,1.178,0.78,0.995,1.04,0.942,0.736,1.159,0.883,1.079,0.945,4.935,4.8020000000000005
0,0.636,0.539,1.096,1.079,0.906,1.005,1.415,0.995,1.417,0.918,4.255999999999999,5.75
1,1.038,0.663,0.883,0.94,0.908,0.782,0.949,0.837,1.022,0.778,4.432,4.368
0,0.782,1.027,0.636,1.022,0.778,0.736,1.436,1.096,0.94,0.908,4.244999999999999,5.1160000000000005
0,0.725,1.019,0.96,1.024,0.8,1.049,1.223,2.604,1.033,1.012,4.528,6.921000000000001
1,1.015,1.264,1.381,1.033,1.012,1.077,1.098,0.945,0.8,0.765,5.705,4.685
0,0.696,0.78,0.927,0.876,0.789,1.061,0.903,1.183,1.045,0.951,4.068,5.143
0,1.061,0.92,0.913,0.843,0.951,1.78,1.415,0.995,1.153,0.965,4.688,6.308
1,1.005,1.265,1.184,0.876,0.789,1.085,1.139,0.806,1.045,0.821,5.119,4.896
1,1.01,1.183,1.314,1.081,0.8,0.614,0.979,0.825,0.973,0.8,5.388,4.191
1,0.85,0.979,0.692,0.973,1.062,1.01,1.356,2.003,1.081,0.8,4.556,6.249999999999999
1,1.216,1.174,1.26,1.081,1.208,0.85,0.786,1.155,0.983,0.893,5.939,4.667000000000001
0,1.055,1.129,1.081,0.999,1.185,1.987,0.769,1.176,1.066,0.891,5.449,5.889
0,0.778,0.639,1.109,1.066,0.8,1.055,1.129,1.185,0.999,1.185,4.3919999999999995,5.553000000000001
0,0.8,1.046,1.08,1.025,0.88,1.987,0.933,1.176,0.92,0.8,4.831,5.816
0,0.782,0.616,0.831,0.773,0.674,1.74,1.098,1.273,1.024,0.8,3.676,5.935
0,0.725,1.098,1.029,0.868,0.8,1.494,0.456,0.572,0.896,0.778,4.52,4.196
0,0.546,0.793,0.572,0.876,1.015,0.725,1.098,1.029,0.844,0.936,3.8019999999999996,4.632
