"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Viktor","Top",3,"1.3%","1.8%","8.1%","33%","100%",3,8,6,1.1,"75.0%","26.7%","33%",179,71,5.7,9.1,"29.7%",424,"35.9%","26.7%",0.53,0.23
"Vladimir","Top",2,"0.9%","0.0%","0.9%","50%","100%",2,4,3,1.3,"33.3%","20.0%","0%",-149,-18,-4.5,9.1,"26.0%",450,"30.6%","23.1%",0.41,0.1
"Volibear","Support",5,"2.2%","4.5%","6.7%","60%","100%",11,17,34,2.6,"66.2%","23.9%","20%",356,85,18.2,2.5,"6.8%",188,"11.6%","12.9%",1.54,0.46
"Xayah","ADC",20,"9.0%","5.4%","14.3%","45%","70%",76,43,56,3.1,"62.3%","18.6%","35%",-11,35,-1.7,10.3,"35.5%",484,"26.8%","29.0%",0.44,0.33
"Xin Zhao","Jungle",1,"0.4%","0.0%","0.4%","0%","100%",2,5,2,0.8,"80.0%","33.3%","100%",-208,-445,-12,4.5,"10.2%",278,"14.8%","15.1%",0.68,0.26
"Yasuo","Middle",2,"0.9%","4.5%","5.4%","50%","100%",3,3,7,3.3,"76.9%","25.0%","50%",-563,-416,-17.5,8.8,"24.6%",200,"13.9%","24.1%",0.53,0.23
"Yuumi","Support",36,"16.1%","26.9%","43.0%","39%","31%",23,58,277,5.2,"84.7%","13.1%","25%",-213,-44,-12.2,0.5,"1.4%",291,"15.8%","8.2%",1.36,0.16
"Zac","Jungle",1,"0.4%","0.4%","0.9%","0%","100%",0,3,2,0.7,"66.7%","25.0%","0%",-165,-309,-9,5.4,"14.9%",123,"10.5%","14.6%",0.36,0.58
"Ziggs","ADC",3,"1.3%","0.4%","3.1%","0%","100%",3,7,5,1.1,"80.0%","15.9%","0%",503,254,47.7,9.2,"31.3%",693,"43.0%","27.0%",0.44,0.27
"Ziggs","Middle",3,"1.3%","0.4%","3.1%","33%","100%",5,4,9,3.5,"77.8%","10.5%","0%",170,178,10.3,10.3,"30.1%",800,"44.5%","26.2%",0.58,0.25
"Zilean","Middle",5,"2.2%","5.4%","9.4%","80%","100%",13,1,47,60,"84.5%","2.7%","0%",146,348,2.4,8.1,"22.7%",408,"21.9%","21.8%",0.66,0.26
"Zilean","Top",4,"1.8%","5.4%","9.4%","50%","100%",4,6,22,4.3,"83.9%","12.8%","50%",-172,-378,-18.8,6.5,"20.8%",348,"23.2%","18.4%",0.59,0.16
"Zoe","Middle",67,"30.0%","40.8%","70.9%","52%","37%",196,103,359,5.4,"72.3%","15.3%","24%",117,51,3.2,8.2,"23.2%",540,"30.9%","22.9%",0.51,0.24
